,ref_name,ref_first,ref_last,elec_name,elec_url,house_or_senate,state,party,start_year,end_year,match
53,"Gunter, Bill",Bill,Gunter,,,House,Florida,Democratic,1973,1975,fail-lastname
54,"Hendon, Bill",Bill,Hendon,,,House,North Carolina,Republican,1981,1987,fail-lastname
55,"Johnson, Bill",Bill,Johnson,,,House,Ohio,Republican,2011,2024,ambiguous
56,"Lowery, Bill",Bill,Lowery,,,House,California,Republican,1981,1993,only-surname
57,"Nichols, Bill",Bill,Nichols,,,House,Alabama,Democratic,1967,1989,fail-firstname
58,"Schuette, Bill",Bill,Schuette,,,House,Michigan,Republican,1985,1991,fail-lastname
59,"Burlison, Bill D.",Bill D.,Burlison,,,House,Missouri,Democratic,1969,1981,fail-firstname
60,"Brewster, Bill K.",Bill K.,Brewster,,,House,Oklahoma,Democratic,1991,1997,ambiguous
61,"Chappell, Bill, Jr.","Bill, Jr.",Chappell,,,House,Florida,Democratic,1969,1989,fail-lastname
62,"Long, Billy",Billy,Long,,,House,Missouri,Republican,2011,2023,ambiguous
63,"Evans, Billy Lee",Billy Lee,Evans,,,House,Georgia,Democratic,1977,1983,fail-firstname
64,"Bayh, Birch",Birch,Bayh,,,Senate,Indiana,Democratic,1963,1981,only-surname
65,"Ginn, Bo",Bo,Ginn,,,House,Georgia,Democratic,1973,1983,only-surname
66,"Bergland, Bob",Bob,Bergland,,,House,Minnesota,Republican,1971,1979,only-surname
67,"Carr, Bob",Bob,Carr,,,House,Michigan,Democratic,1975,1995,ambiguous
68,"Eckhardt, Bob",Bob,Eckhardt,,,House,Texas,Democratic,1967,1981,only-surname
69,"Graham, Bob",Bob,Graham,,,Senate,Florida,Democratic,1987,2005,fail-firstname
70,"Smith, Bob",Bob,Smith,,,"House,Senate",New Hampshire,Republican,1985,2003,ambiguous
71,"Traxler, Bob",Bob,Traxler,,,House,Michigan,Democratic,1973,1993,fail-lastname
72,"Whittaker, Bob",Bob,Whittaker,,,House,Kansas,Republican,1979,1991,only-surname
73,"Fiedler, Bobbi",Bobbi,Fiedler,,,House,California,Republican,1981,1987,fail-lastname
74,"Donnelly, Brian J.",Brian J.,Donnelly,,,House,Massachusetts,Democratic,1979,1993,fail-firstname
75,"Adams, Brock",Brock,Adams,,,"House,Senate",Washington,Democratic,1965,1993,fail-firstname
76,"Morrison, Bruce A.",Bruce A.,Morrison,,,House,Connecticut,Democratic,1983,1991,fail-firstname
77,"Caputo, Bruce F.",Bruce F.,Caputo,,,House,New York,Republican,1977,1979,fail-lastname
78,"Shuster, Bud",Bud,Shuster,,,House,Pennsylvania,Republican,1973,2001,fail-firstname
79,"MacKay, Buddy",Buddy,MacKay,,,House,Florida,Democratic,1983,1989,fail-lastname
80,"Roemer, Buddy",Buddy,Roemer,,,House,Louisiana,Democratic,1981,1989,only-surname
